2020-05-05 04:19:36|DEBUG|cid not found|27
2020-05-05 04:21:30|DEBUG|cid not found|30
2020-05-05 04:24:50|DEBUG|cid not found|29
2020-05-05 04:27:13|DEBUG|cid not found|34
2020-05-05 04:29:56|DEBUG|cid not found|29
2020-05-05 04:33:47|DEBUG|cid not found|28
2020-05-05 04:36:25|DEBUG|cid not found|30
2020-05-05 04:36:45|DEBUG|cid not found|27
2020-05-05 04:37:51|DEBUG|cid not found|28
2020-05-05 04:40:12|DEBUG|cid not found|27
2020-05-05 04:41:55|DEBUG|cid not found|29
2020-05-05 04:41:56|DEBUG|cid not found|27
2020-05-05 04:43:39|DEBUG|cid not found|31
2020-05-05 04:46:46|DEBUG|cid not found|27
2020-05-05 04:47:55|DEBUG|cid not found|31
2020-05-05 04:50:07|DEBUG|cid not found|28
2020-05-05 04:50:09|DEBUG|cid not found|27
2020-05-05 04:53:18|DEBUG|cid not found|28
2020-05-05 04:55:04|DEBUG|cid not found|28
2020-05-05 04:55:31|DEBUG|cid not found|28
2020-05-05 04:59:07|DEBUG|cid not found|27
2020-05-05 05:00:34|DEBUG|cid not found|30
2020-05-05 05:05:45|DEBUG|cid not found|31
2020-05-05 05:10:58|DEBUG|cid not found|31
2020-05-05 05:14:45|DEBUG|cid not found|34
2020-05-05 05:22:06|DEBUG|cid not found|27
2020-05-05 05:26:10|DEBUG|cid not found|28
